Shipments: Client Client ID,Shipments: Attributes Ocean type category,Shipments: Attributes Ocean LCL subcategory,Shipments: Attributes Shipment ID,Shipments: Locations Departure port Ocean LOC,Shipments: Locations Final port Ocean LOC,Shipment Containers: Actual Timeline (local) Departure Port Departed On Date,Shipments: Attributes Tradelane,On Time Performance OTP Promised Delivery Week,On Time Performance OTP Promised Delivery Date,Shipment Containers: Actual Timeline (local) In Full Delivered On Date,On Time Performance Primary Delay Stage,Transit Time: Quote Quoted Origin Total Days,On Time Performance Quoted Port to Port Days,On Time Performance Quoted Destination Total Days,On Time Performance Actual Origin Total Days,On Time Performance Actual Port to Port Days,On Time Performance Actual Destination Total Days,Shipments: Attributes CO2 Emissions (Tonnes),Shipments: Attributes Gross Weight (kg),Shipments: Attributes Volume (cbm),Shipment Containers: Distance Final Port to Destination Distance in mile,Shipment Containers: Distance Origin to First Port Distance in km,Shipments: Involved Parties Destination Agent Company Name,Shipments: Involved Parties Origin Agent Company Name,Shipments: Involved Parties To Destination Carrier Name,Shipments: Locations Destination Coordinates,On Time Performance Origin on Time Performance,On Time Performance Port to Port on Time Performance,On Time Performance Destination on Time Performance,On Time Performance On Time Performance,Port pair,Total Quoted Days,Total Actual Days,Delta quoted vs actual total days,Delta actual vs quoted origin days,Delta actual vs quoted p2p days,Delta actual vs quoted destination days
2768,coloaded_lcl,ECU Worldwide,3050965,BEANR,USNYC,2025-03-10,TAWB,2025-04-07,2025-04-07,2025-03-28,On Time,14.0,28.0,5.0,19.0,15.2,6.2,0.68,"6,022",20.16,81.44,130.20,Flexport,Flexport Carrier Bookings Operations,"Blue Eagle Logistics, Inc","40.5818403,-75.6958118",0.0%,100.0%,100.0%,100.0%,BEANR - USNYC,47,40,-7,5,-13,1
53250,coloaded_lcl,ECU Worldwide,3070749,GBLIV,USNYC,2025-03-13,TAWB,2025-04-07,2025-04-07,2025-04-02,On Time,14.0,17.0,7.0,15.9,11.6,11.4,0.09,229,1.089,539.50,325.69,Flexport,Flexport Carrier Booking Operations,Flock Freight Inc,"35.0408072,-80.9752054",0.0%,100.0%,0.0%,100.0%,GBLIV - USNYC,38,39,1,2,-5,4
81870,coloaded_lcl,Shipco Transport,3025096,KHKOS,GBFXT,2025-02-16,FEWB,2025-04-07,2025-04-07,,Port to Port,6.0,39.0,6.0,3.0,,,0.08,448.94,3.166,116.24,162.55,Flexport Carrier Booking Operations,"INDO-TRANS LOGISTICS (CAMBODIA) CO., LTD.",Shipco Transport (UK Trucking),"52.6057743,-1.1889393",100.0%,0.0%,0.0%,0.0%,KHKOS - GBFXT,51,,,-3,,
7821,coloaded_lcl,Shipco Transport,3017912,VNHPH,USLAX,2025-02-23,TPEB,2025-04-07,2025-04-11,2025-03-31,On Time,13.0,39.0,1.0,6.2,30.2,10.2,0.14,186.3,1.71,"2,197.57",42.65,Flexport,ITL FREIGHT MANAGEMENT JSC,Accelerated Inc.,"28.6454602,-81.3546942",100.0%,100.0%,0.0%,100.0%,VNHPH - USLAX,53,47,-6,-7,-9,9
818,coloaded_lcl,Shipco Transport,3017683,THLKR,USLAX,2025-02-10,TPEB,2025-04-07,2025-04-07,2025-03-18,On Time,13.0,43.0,3.0,3.6,30.1,9.3,0.03,223.26,2.563,11.44,30.69,Flexport,"ASL Logistics Co.,Ltd. (THB)",(CARTAGE)Roadex America Inc.,"33.8990902,-118.2735837",100.0%,100.0%,0.0%,100.0%,THLKR - USLAX,59,43,-16,-9,-13,6
4941,coloaded_lcl,ECU Worldwide,2923332,THBKK,GBSOU,2025-01-11,FEWB,2025-04-07,2025-04-11,2025-03-18,On Time,14.0,76.0,5.0,5.8,60.1,10.8,0.42,"1,851.69",6.633,180.81,91.56,Flexport Carrier Booking Operations,"ASL Logistics Co.,Ltd. (THB)",Lombard,"53.470664,-2.3086662",100.0%,100.0%,0.0%,100.0%,THBKK - GBSOU,95,77,-18,-8,-16,6
36607,coloaded_lcl,Shipco Transport,3075176,TWTPE,GBFXT,2025-03-18,FEWB,2025-04-07,2025-04-07,,Origin_Terminal,9.0,46.0,5.0,15.9,,,0.14,687.3,2.84,134.58,150.87,Flexport Carrier Booking Operations,"PGS (Taiwan) Logistics Co., Ltd",Lombard,"52.5228421,-1.6946794",0.0%,0.0%,0.0%,0.0%,TWTPE - GBFXT,60,,,7,,
33801,coloaded_lcl,Shipco Transport,3065250,DEHAM,USNYC,2025-02-24,TAWB,2025-04-07,2025-04-08,2025-03-25,On Time,15.0,38.0,1.0,11.3,18.3,16.3,0.19,213.48,1.26,"2,440.69",448.88,Flexport,Flexport Carrier Booking Operations ,Flock Freight Inc,"34.2563598,-118.403129",100.0%,100.0%,0.0%,100.0%,DEHAM - USNYC,54,46,-8,-4,-20,15
74791,coloaded_lcl,ECU Worldwide,2995994,BDCGP,CAVAN,2025-01-16,TPEB,2025-04-07,2025-04-08,2025-03-21,On Time,13.0,69.0,4.0,4.0,61.5,9.6,0.15,794.03,5.29,24.54,230.96,Flexport Canada Logistics ULC,Dart Global Logistics (PVT) - Bangladesh,Aerostream Logistics,"49.0446693,-122.6874575",100.0%,100.0%,100.0%,100.0%,BDCGP - CAVAN,86,75,-11,-9,-7,6
41545,coloaded_lcl,Shipco Transport,3043761,TWKHH,USCHI,2025-02-23,TPEB,2025-04-07,2025-04-10,2025-04-03,On Time,13.0,41.0,3.0,11.4,38.1,8.4,1.29,"6,586.08",5.22,324.27,5.34,Flexport,"PGS (Taiwan) Logistics Co., Ltd",Midwest Express Co,"41.28922379999999,-81.8628664",100.0%,100.0%,100.0%,100.0%,TWKHH - USCHI,57,58,1,-2,-3,5
96938,coloaded_lcl,Shipco Transport,3054158,INNSA,USNYC,2025-02-17,TPEB,2025-04-07,2025-04-11,2025-04-01,On Time,13.0,45.0,4.0,8.7,36.3,13.0,0.36,"1,497",6.341,199.50,5.83,Flexport,Dart Global,Redwood Multimodal,"41.9579872,-70.689061",100.0%,100.0%,0.0%,100.0%,INNSA - USNYC,62,58,-4,-4,-9,9
77303,coloaded_lcl,ECU Worldwide,3017970,PKKHI,USSEA,2025-02-01,TPEB,2025-04-07,2025-04-07,2025-03-21,On Time,13.0,50.0,6.0,6.3,47.2,9.5,0.22,543,4,140.04,"1,120.15",Flexport,Dart Global (PVT) - Pakistan,ACT 2 SERVICES,"45.5506354,-122.4709901",100.0%,100.0%,100.0%,100.0%,PKKHI - USSEA,69,63,-6,-7,-3,4
3931,flxt_lcl,flxt_lcl_child,3064053,HKHKG,USLGB,2025-03-04,TPEB,2025-04-07,2025-04-07,2025-03-31,On Time,13.0,19.0,9.0,8.4,19.1,8.3,0.005,46.5,0.15,42.90,11.69,Flexport,DT Logistics (Hong Kong) Ltd.,"All Cartage Transportation, Inc.","34.0340118,-117.5561447",100.0%,100.0%,100.0%,100.0%,HKHKG - USLGB,41,36,-5,-5,0,-1
76947,coloaded_lcl,ECU Worldwide,2934950,INNSA,USLAX,2025-01-02,TPEB,2025-04-07,2025-04-07,2025-02-28,On Time,13.0,94.0,4.0,17.9,54.7,19.1,0.19,367.02,2.846,18.07,"1,165.74",Flexport,Dart Global,JIT Transportation,"33.9836448,-118.1635897",0.0%,100.0%,100.0%,100.0%,INNSA - USLAX,111,92,-19,5,-39,15
81870,coloaded_lcl,Shipco Transport,3045865,LKCMB,GBFXT,2025-02-13,FEWB,2025-04-07,2025-04-10,2025-03-18,On Time,13.0,52.0,3.0,11.9,28.1,7.0,0.05,250,1.426,116.24,100.38,Flexport Carrier Booking Operations,Dart Global Logistics (PVT) - Sri Lanka,Lombard,"52.6057743,-1.1889393",100.0%,100.0%,0.0%,100.0%,LKCMB - GBFXT,68,47,-21,-1,-24,4
42676,coloaded_lcl,Shipco Transport,3021805,TWKHH,AUSYD,2025-02-22,ROW,2025-04-07,2025-04-07,,Destination_Discharge,13.0,36.0,1.0,8.2,19.6,,0.02,125,1.73,148.77,201.42,Seaway Logistics Pty Ltd,"PGS (Taiwan) Logistics Co., Ltd",,"-35.3273227,149.1830263",100.0%,100.0%,0.0%,0.0%,TWKHH - AUSYD,50,,,-5,-16,
76528,coloaded_lcl,Shipco Transport,2992256,JPUKB,USNYC,2025-01-19,TPEB,2025-04-07,2025-04-07,2025-04-02,On Time,13.0,62.0,4.0,2.3,68.6,18.9,0.15,383.35,3.811,594.25,427.84,Flexport,Mitsubishi Logistics Corporation,Special Service Freight Company,"34.8524089,-82.1421987",100.0%,100.0%,0.0%,100.0%,JPUKB - USNYC,79,90,11,-11,7,15
74791,coloaded_lcl,ECU Worldwide,3021489,BDCGP,CAVAN,2025-02-01,TPEB,2025-04-07,2025-04-11,2025-04-04,On Time,13.0,56.0,4.0,4.5,59.1,7.1,0.12,755.76,4.65,24.54,230.96,Flexport Canada Logistics ULC,Dart Global Logistics (PVT) - Bangladesh,Carson,"49.0446693,-122.6874575",100.0%,0.0%,100.0%,100.0%,BDCGP - CAVAN,73,71,-2,-9,3,3
87829,coloaded_lcl,Shipco Transport,3050925,ITGOA,USNYC,2025-02-24,TAWB,2025-04-07,2025-04-07,2025-03-28,On Time,14.0,39.0,6.0,0.1,44.8,5.9,0.01,114,1,107.00,20.46,Flexport,Monava Trasporti Internazionali Spa,"Blue Eagle Logistics, Inc","40.6331121,-76.18999509999999",100.0%,0.0%,100.0%,100.0%,ITGOA - USNYC,59,51,-8,-14,6,-0
